number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
30,0.8706520877440322,16.023319760193694,11.717432414993528,2025-12-15 21:25:53.746522,2025-12-15 21:25:55.837926,0 days 00:00:02.091404,0.8991475894833876,0.2449328844569624,14,28,2524,139,0.6499639307777652,0.7019668772577033,0.7507581473435998,0,COMPLETE
31,0.8687974977369628,16.135904905975387,11.848885134149622,2025-12-15 21:25:55.838923,2025-12-15 21:25:57.633121,0 days 00:00:01.794198,0.517971136898371,0.2681015491270942,7,9,2490,69,0.46559801813246016,0.5426446347075766,0.789140070498087,0,COMPLETE
32,0.8525932337015589,17.107152608478923,12.654243560457406,2025-12-15 21:25:57.635116,2025-12-15 21:26:00.238150,0 days 00:00:02.603034,0.5635302563259423,0.18134164556501312,3,42,1216,24,0.5222432600548044,0.7699935530986108,0.6800953207056315,0,COMPLETE
33,0.8661635403221244,16.296339718513188,11.972148987320216,2025-12-15 21:26:00.239147,2025-12-15 21:26:03.111460,0 days 00:00:02.872313,0.8187149507491033,0.19063823798751006,4,29,1039,26,0.7260913337226615,0.9758520794625346,0.7703175608050532,0,COMPLETE
34,0.871284753356008,15.98383283160499,11.732181206871898,2025-12-15 21:26:03.112458,2025-12-15 21:26:06.714818,0 days 00:00:03.602360,0.5126753717077288,0.10365737715296132,13,25,1791,55,0.9626484146779251,0.8359801205122058,0.5392281906711329,0,COMPLETE
35,0.8706170015300454,16.02528711227506,11.762622696248318,2025-12-15 21:26:06.716813,2025-12-15 21:26:10.044906,0 days 00:00:03.328093,0.8572979613500311,0.12859635388013826,5,16,2240,40,0.6601973767177313,0.27993389694594284,0.7746133323530602,0,COMPLETE
36,0.8712480068768713,15.984771172850618,11.716051042558922,2025-12-15 21:26:10.045904,2025-12-15 21:26:11.716433,0 days 00:00:01.670529,0.6779863393256308,0.22399010584177287,10,24,2888,100,0.7578461104643691,0.014393488629755868,0.6238654947505787,0,COMPLETE
37,0.7654917189994499,21.583408567183096,16.116352036797704,2025-12-15 21:26:11.718427,2025-12-15 21:26:13.251325,0 days 00:00:01.532898,0.5489170803255008,0.023340766186308294,3,37,790,132,0.49161587511683236,0.4734717707805657,0.7370869145436626,0,COMPLETE
38,0.8727399191497307,15.893084213802947,11.702503069918516,2025-12-15 21:26:13.252323,2025-12-15 21:26:16.201431,0 days 00:00:02.949108,0.6873063073132356,0.13581697827901218,8,34,933,100,0.6258599157142364,0.5031362585800877,0.5226520048860223,0,COMPLETE
39,0.8679924850019411,16.18622797060926,11.865670302861071,2025-12-15 21:26:16.202428,2025-12-15 21:26:18.385586,0 days 00:00:02.183158,0.7928877906367316,0.20102115316949404,5,34,2642,29,0.9402302414249576,0.575474177875879,0.513255655270811,0,COMPLETE
